old_url,new_url,action,release_gate,reason
https://psitrends.com/,https://psitrends.com/,UPDATE_IN_PLACE,"Native Joomla preview, save and paired rollback checks",Native client homepage; retain original Quix record and menu ID
https://psitrends.com/ru/,https://psitrends.com/ru/,UPDATE_IN_PLACE,"Native Joomla preview, save and paired rollback checks",Native client homepage; retain original Quix record and menu ID
https://psitrends.com/home1,https://psitrends.com/home1,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/canada,https://psitrends.com/canada,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/switzerland,https://psitrends.com/switzerland,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/norway,https://psitrends.com/norway,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/portugal,https://psitrends.com/portugal,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/diving,https://psitrends.com/diving,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/rafting,https://psitrends.com/rafting,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/rock-clambing,https://psitrends.com/rock-clambing,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/packages,https://psitrends.com/packages,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/greenland-tour,https://psitrends.com/greenland-tour,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/blue-ice-experience,https://psitrends.com/blue-ice-experience,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/glacier-walk-combo,https://psitrends.com/glacier-walk-combo,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/laugavegur-trek,https://psitrends.com/laugavegur-trek,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/your-profile,https://psitrends.com/your-profile?view=login,KEEP_EXISTING_REDIRECT,No route mutation,Preserve observed existing destination; no new blanket redirect
https://psitrends.com/submit-an-article,https://psitrends.com/submit-an-article,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/template-settings,https://psitrends.com/template-settings,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/site-settings,https://psitrends.com/site-settings,KEEP_STATUS_REVIEW_INLINKS,No route mutation,No verified equivalent; repair referring links or underlying error separately
https://psitrends.com/ru/biznes/biznes-analiz,https://psitrends.com/ru/biznes/biznes-analiz,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/thank-you,https://psitrends.com/thank-you,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/home,https://psitrends.com/home,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/business/business-analysis,https://psitrends.com/business/business-analysis,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/ru/ru,https://psitrends.com/ru/ru,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/fest,https://psitrends.com/fest,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/therapy,https://psitrends.com/therapy,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/therapy/image-psychotherapy,https://psitrends.com/therapy/image-psychotherapy,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/express,https://psitrends.com/express,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/ru/express-ru,https://psitrends.com/ru/express-ru,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/ru/thrpy-ru,https://psitrends.com/ru/thrpy-ru,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/fest-program-2,https://psitrends.com/fest-program-2,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/fest-prog2,https://psitrends.com/fest-prog2,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/studies/adv/reiki,https://psitrends.com/studies/adv/reiki,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/studies/adv/prog-taory,https://psitrends.com/studies/adv/prog-taory,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
https://psitrends.com/ru/cat-train-ru/advanced-ru/review-maat-ru,https://psitrends.com/ru/cat-train-ru/advanced-ru/review-maat-ru,KEEP,No route mutation,Preserve existing URL and content; organize through Academy links without relocation
