url,final_url,locale,status,title,h1,description,canonical,robots,indexability,page_type,content_state,primary_topic,cta,language_quality,claim_types,internal_inlinks,internal_outlinks,crawl_depth,gsc,ga4,backlinks,proposed_action,target_url,owner,decision_status
https://psitrends.com/,https://psitrends.com/,en,200,Аcademy of archetypal consulting,HOLISTIC HOUSE,Festivals of Holistic Temple Arts. Archetypal business consulting. Archetypal therapy sessions & courses.,,,HTTP200; canonical/robots/rendered review required,home,CLAIM REVIEW,home,Telegram | WhatsApp,Legacy copy requires editorial review,financial-outcome | health-outcome | regulated-title | stale-context,24,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/ru/,https://psitrends.com/ru/,ru,200,Главная,,,,,HTTP200; canonical/robots/rendered review required,home,CLAIM REVIEW,home,Telegram,Legacy copy requires editorial review,financial-outcome | health-outcome | regulated-title,104,45,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/ru/,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/home1,https://psitrends.com/home1,en,200,Home,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,1,46,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/home1,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/canada,https://psitrends.com/canada,en,200,Canada,Canada,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,,Legacy copy requires editorial review,financial-outcome,3,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/canada,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/switzerland,https://psitrends.com/switzerland,en,200,Switzerland,Switzerland,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,3,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/switzerland,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/norway,https://psitrends.com/norway,en,200,Norway,Norway,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,,Legacy copy requires editorial review,financial-outcome,3,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/norway,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/portugal,https://psitrends.com/portugal,en,200,Portugal,Portugal,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,3,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/portugal,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/diving,https://psitrends.com/diving,en,200,Diving,Driving,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,,Legacy copy requires editorial review,financial-outcome,2,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/diving,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/rafting,https://psitrends.com/rafting,en,200,Rafting,Rafting,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,2,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/rafting,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/rock-clambing,https://psitrends.com/rock-clambing,en,200,Clambing,Rock Climbing,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,2,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/rock-clambing,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/packages,https://psitrends.com/packages,en,200,Packages,Packages,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,2,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/packages,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/greenland-tour,,en,HTTP Error 500: Internal Server Error,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,1,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/greenland-tour,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/blue-ice-experience,,en,HTTP Error 500: Internal Server Error,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,1,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/blue-ice-experience,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/glacier-walk-combo,,en,HTTP Error 500: Internal Server Error,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,1,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/glacier-walk-combo,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/laugavegur-trek,,en,HTTP Error 500: Internal Server Error,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,0,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/laugavegur-trek,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/your-profile,https://psitrends.com/your-profile?view=login,en,200,Your Profile,,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,0,37,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/your-profile?view=login,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/submit-an-article,https://psitrends.com/submit-an-article,en,200,Submit an Article,,PsiTrends,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,1,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/submit-an-article,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/template-settings,,en,HTTP Error 403: Forbidden,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,0,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/template-settings,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/site-settings,,en,HTTP Error 403: Forbidden,,,,,,not a verified indexable page,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,0,0,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,KEEP,https://psitrends.com/site-settings,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/ru/biznes/biznes-analiz,https://psitrends.com/ru/biznes/biznes-analiz,ru,200,Консалтинг / бизнес-анализ,|,,,,HTTP200; canonical/robots/rendered review required,business,CLAIM REVIEW,business,Google Form | Telegram | WhatsApp,Legacy copy requires editorial review,financial-outcome | regulated-title | stale-context,65,44,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/ru/biznes/biznes-analiz,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/thank-you,https://psitrends.com/thank-you,en,200,Спасибо за обращение,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,EDUCATIONAL RESOURCE,academy/legacy,,Legacy copy requires editorial review,,2,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/thank-you,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/home,https://psitrends.com/home,en,200,Аcademy of archetypal consulting,HOLISTIC HOUSE,Festivals of Holistic Temple Arts. Archetypal business consulting. Archetypal therapy sessions & courses.,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Telegram | WhatsApp,Legacy copy requires editorial review,financial-outcome | health-outcome | regulated-title | stale-context,1,38,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/home,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/business/business-analysis,https://psitrends.com/business/business-analysis,en,200,Business analysis,| |,Express analysis threats and opportunities for your business.,,,HTTP200; canonical/robots/rendered review required,business,CLAIM REVIEW,business,Telegram | WhatsApp,Legacy copy requires editorial review,financial-outcome | health-outcome | rapid-guaranteed-outcome | regulated-title | stale-context,81,37,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/business/business-analysis,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/ru/ru,https://psitrends.com/ru/ru,ru,200,Главная,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Telegram,Legacy copy requires editorial review,financial-outcome | health-outcome | regulated-title,1,46,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/ru/ru,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/fest,https://psitrends.com/fest,en,200,Festival,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Google Form | Telegram,Legacy copy requires editorial review,health-outcome | regulated-title,2,42,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/fest,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/therapy,https://psitrends.com/therapy,en,200,Therapy,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,WhatsApp,Legacy copy requires editorial review,financial-outcome | health-outcome | stale-context,80,37,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/therapy,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/therapy/image-psychotherapy,https://psitrends.com/therapy/image-psychotherapy,en,200,Personal psychotherapy,,"Retain your inner stability, balance, reduce your stress and find motivation and energy.",,,HTTP200; canonical/robots/rendered review required,hypnotherapy,CLAIM REVIEW,hypnotherapy,Telegram | WhatsApp,Legacy copy requires editorial review,financial-outcome | health-outcome | rapid-guaranteed-outcome | regulated-title | stale-context,80,37,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/therapy/image-psychotherapy,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/express,https://psitrends.com/express,en,200,Diagnostics,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Telegram | WhatsApp,Legacy copy requires editorial review,health-outcome | regulated-title,85,37,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/express,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/ru/express-ru,https://psitrends.com/ru/express-ru,ru,200,Диагностика,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Telegram | WhatsApp,Legacy copy requires editorial review,health-outcome | regulated-title,65,44,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/ru/express-ru,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/ru/thrpy-ru,https://psitrends.com/ru/thrpy-ru,ru,200,Развитие человека,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Telegram,Legacy copy requires editorial review,financial-outcome | health-outcome | regulated-title,65,45,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/ru/thrpy-ru,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/fest-program-2,https://psitrends.com/fest-program-2,en,200,PROGRAM 2. CONSTELLATIONS OF LOVE.,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Google Form | Telegram,Legacy copy requires editorial review,health-outcome | regulated-title,2,39,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/fest-program-2,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/fest-prog2,https://psitrends.com/fest-prog2,en,200,PROGRAM 2. CONSTELLATIONS OF LOVE.,,,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Google Form | Telegram,Legacy copy requires editorial review,health-outcome | regulated-title,2,39,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/fest-prog2,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/studies/adv/reiki,https://psitrends.com/studies/adv/reiki,en,200,Shamanic Reiki School - Academy Of Ancient Temple Arts,,"Tantra Reiki, Kundalini Reiki, Runic Reiki, Shamanic Flight & Egyptian Ritual.",,,HTTP200; canonical/robots/rendered review required,reiki,CLAIM REVIEW,reiki,Google Form | Telegram | WhatsApp,Legacy copy requires editorial review,health-outcome | regulated-title,80,39,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/studies/adv/reiki,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
https://psitrends.com/studies/adv/prog-taory,https://psitrends.com/studies/adv/prog-taory,en,200,Program. Tao Reiki Yggdrasil - Academy Of Ancient Temple Arts,,This is the professional program that shares with you the key instruments and attunements into the world temple & shamanic traditions.,,,HTTP200; canonical/robots/rendered review required,academy/legacy,CLAIM REVIEW,academy/legacy,Google Form | Telegram | WhatsApp,Legacy copy requires editorial review,health-outcome | regulated-title,80,39,0,PROCESSING—property verified2026-09-22,NOT EXPORTED—do not infer zero,NOT AVAILABLE,UPDATE,https://psitrends.com/studies/adv/prog-taory,PsiTrends owner,PROPOSAL—no deletion/merge without search and consent evidence
